size,network_type,success_rate,avg_steps
4,cycle,0.749,61.885447263017355
4,wheel,0.6881,36.2206074698445
4,complete,0.6871,35.63207684470965
4,bipartite,0.7412,61.36454398273071
4,cliques,0.7779,103.37241290654326
5,cycle,0.837,75.92962962962963
5,wheel,0.7648,43.80321652719665
5,complete,0.7147,30.364628515461032
5,bipartite,0.8143,62.0421220680339
5,cliques,0.8349,95.75745598275243
6,cycle,0.8994,89.13542361574383
6,wheel,0.8315,50.65303668069753
6,complete,0.7489,26.265723060488718
6,bipartite,0.8508,52.7401269393512
6,cliques,0.8761,90.32416390822965
7,cycle,0.9365,99.35056059797117
7,wheel,0.8769,55.533812293305964
7,complete,0.7692,23.176547061882474
7,bipartite,0.8718,50.48176187198899
7,cliques,0.9004,85.20857396712572
8,cycle,0.9601,107.11227997083637
8,wheel,0.9068,60.42170269078077
8,complete,0.7911,21.064214385033498
8,bipartite,0.8969,44.7008585126547
8,cliques,0.9199,79.84944015653875
9,cycle,0.9759,115.27400348396353
9,wheel,0.9289,63.814081171277856
9,complete,0.8022,19.110570929942657
9,bipartite,0.9088,42.23118397887324
9,cliques,0.9601,104.38454327674201
10,cycle,0.9834,123.9950172869636
10,wheel,0.9486,67.16571790006326
10,complete,0.8147,17.529765557874065
10,bipartite,0.9214,38.75830258302583
10,cliques,0.9691,100.8786502940873
11,cycle,0.991,130.60070635721493
11,wheel,0.9591,69.69398394328016
11,complete,0.8165,16.470177587262707
11,bipartite,0.9269,36.76297335203366
11,cliques,0.9758,96.9452756712441
