size,network_type,success_rate,avg_steps
4,cycle,0.6914,47.47006074631183
4,wheel,0.6272,28.6500318877551
4,complete,0.6248,28.464468629961587
4,bipartite,0.6944,47.77217741935484
4,cliques,0.7377,84.40788938592924
5,cycle,0.8187,62.165628435324294
5,wheel,0.706,32.09263456090652
5,complete,0.6633,23.266998341625207
5,bipartite,0.75,43.96853333333333
5,cliques,0.7917,81.10306934444866
6,cycle,0.8814,72.44474699341956
6,wheel,0.7816,38.51548106448311
6,complete,0.7022,19.6627741384221
6,bipartite,0.7844,37.31004589495156
6,cliques,0.8456,72.995151371807
7,cycle,0.9302,80.10900881530854
7,wheel,0.8285,42.346288473144234
7,complete,0.7167,17.107436863401702
7,bipartite,0.8248,34.60414645974782
7,cliques,0.8773,69.09506440214294
8,cycle,0.9572,87.72283744254075
8,wheel,0.8648,45.31036077705828
8,complete,0.7321,15.309383963939352
8,bipartite,0.8395,30.561405598570577
8,cliques,0.8955,65.70083752093802
9,cycle,0.9723,95.26524735164044
9,wheel,0.893,48.37603583426652
9,complete,0.7493,13.894568263712799
9,bipartite,0.8518,28.686780934491665
9,cliques,0.9467,85.67772261540087
10,cycle,0.9807,102.22137248903844
10,wheel,0.9187,51.156743224121044
10,complete,0.7722,12.814814814814815
10,bipartite,0.8672,26.023178044280442
10,cliques,0.9561,83.10731095073737
11,cycle,0.9882,104.85934021453147
11,wheel,0.9306,53.337416720395446
11,complete,0.7742,11.909713252389563
11,bipartite,0.8759,24.905354492521976
11,cliques,0.9668,79.74575920562681
