size,network_type,success_rate,avg_steps
2,cycle,0.494,58.921052631578945
2,wheel,0.532,60.03195488721804
2,complete,0.499,60.40480961923848
4,cycle,0.744,58.975806451612904
4,wheel,0.674,36.32640949554896
4,complete,0.694,35.40489913544668
6,cycle,0.907,88.01984564498346
6,wheel,0.837,51.17921146953405
6,complete,0.768,26.1796875
8,cycle,0.966,107.28053830227744
8,wheel,0.906,61.00883002207505
8,complete,0.765,20.97908496732026
10,cycle,0.993,124.96978851963746
10,wheel,0.943,66.4390243902439
10,complete,0.817,17.613219094247246
12,cycle,0.996,130.0843373493976
12,wheel,0.958,70.72442588726514
12,complete,0.819,15.362637362637363
