size,network_type,success_rate,avg_time
3,cycle,0.8374,3.3811798423692383
3,wheel,0.8304,3.380780346820809
3,complete,0.8348,3.3788931480594155
4,cycle,0.9153,3.920900251283732
4,wheel,0.9029,3.174770184959575
4,complete,0.9097,3.1828075189622953
5,cycle,0.9427,4.4092500265195715
5,wheel,0.9491,3.2761563586555686
5,complete,0.9487,3.0040054811847794
6,cycle,0.9633,4.756877400602097
6,wheel,0.9654,3.419929562875492
6,complete,0.9701,2.877332233790331
7,cycle,0.9693,5.027029815330651
7,wheel,0.9812,3.557072971871178
7,complete,0.9798,2.774137579097775
8,cycle,0.9722,5.2022217650689155
8,wheel,0.9877,3.638857952819682
8,complete,0.9877,2.6731801154196617
9,cycle,0.9754,5.469755997539471
9,wheel,0.9908,3.6970125151392814
9,complete,0.9926,2.590973201692525
10,cycle,0.9752,5.624179655455292
10,wheel,0.9927,3.751888788153521
10,complete,0.9936,2.514694041867955
11,cycle,0.9748,5.793393516618794
11,wheel,0.9952,3.840735530546624
11,complete,0.9969,2.4499949844518008
12,cycle,0.9727,6.003906651588363
12,wheel,0.9954,3.8719107896323086
12,complete,0.9975,2.3919799498746865
