size,network_type,success_rate,avg_steps
2,cycle,0.6,76.33333333333333
2,wheel,0.2,56.0
2,complete,0.3,43.666666666666664
2,bipartite,0.5,58.8
2,cliques,0.6,56.5
4,cycle,0.8,67.25
4,wheel,0.5,23.0
4,complete,0.9,23.666666666666668
4,bipartite,0.5,51.2
4,cliques,0.8,105.875
6,cycle,0.8,113.875
6,wheel,0.8,60.75
6,complete,0.6,23.833333333333332
6,bipartite,0.9,53.55555555555556
6,cliques,0.9,61.333333333333336
8,cycle,1.0,85.1
8,wheel,0.9,76.0
8,complete,0.9,14.222222222222221
8,bipartite,0.8,39.875
8,cliques,0.8,43.5
10,cycle,1.0,147.2
10,wheel,0.9,78.44444444444444
10,complete,0.8,13.375
10,bipartite,1.0,41.8
10,cliques,1.0,66.1
12,cycle,1.0,173.9
12,wheel,1.0,70.5
12,complete,1.0,16.5
12,bipartite,1.0,27.9
12,cliques,1.0,98.1
