size,network_type,success_rate,avg_steps
2,cycle,0.479,59.96116910229645
2,wheel,0.475,60.152
2,complete,0.4706,59.86910327241819
4,cycle,0.7047,48.06995884773662
4,wheel,0.6354,28.789266603714196
4,complete,0.6339,28.715254772046062
6,cycle,0.8767,73.06957910345614
6,wheel,0.7767,39.006952491309384
6,complete,0.6959,19.524356947837333
8,cycle,0.9535,89.02810697430519
8,wheel,0.8617,45.58198909133109
8,complete,0.7281,15.261777228402693
10,cycle,0.984,101.41229674796747
10,wheel,0.9118,51.08653213423997
10,complete,0.7623,12.832087104814377
12,cycle,0.9934,111.10459029595329
12,wheel,0.9398,55.63896573739093
12,complete,0.7957,11.298982028402664
