simulation_id,network_type,converged,step,theory,num_agents,true_probs_old,true_probs_new
1,cycle,True,1,Old Theory,10,0.2,0.8
2,cycle,True,8,New Theory,10,0.2,0.8
3,cycle,True,7,New Theory,10,0.2,0.8
4,cycle,True,8,New Theory,10,0.2,0.8
5,cycle,True,8,New Theory,10,0.2,0.8
6,cycle,True,3,Old Theory,10,0.2,0.8
7,cycle,True,3,Old Theory,10,0.2,0.8
8,cycle,True,8,New Theory,10,0.2,0.8
9,cycle,True,9,New Theory,10,0.2,0.8
10,cycle,True,8,New Theory,10,0.2,0.8
11,cycle,True,11,New Theory,10,0.2,0.8
12,cycle,True,5,New Theory,10,0.2,0.8
13,cycle,True,14,New Theory,10,0.2,0.8
14,cycle,True,9,New Theory,10,0.2,0.8
15,cycle,True,7,New Theory,10,0.2,0.8
16,cycle,True,1,Old Theory,10,0.2,0.8
17,cycle,True,9,New Theory,10,0.2,0.8
18,cycle,True,7,New Theory,10,0.2,0.8
19,cycle,True,9,New Theory,10,0.2,0.8
20,cycle,True,8,New Theory,10,0.2,0.8
21,cycle,True,7,New Theory,10,0.2,0.8
22,cycle,True,1,Old Theory,10,0.2,0.8
23,cycle,True,1,Old Theory,10,0.2,0.8
24,cycle,True,6,New Theory,10,0.2,0.8
25,cycle,True,9,New Theory,10,0.2,0.8
26,cycle,True,11,New Theory,10,0.2,0.8
27,cycle,True,1,Old Theory,10,0.2,0.8
28,cycle,True,7,New Theory,10,0.2,0.8
29,cycle,True,7,New Theory,10,0.2,0.8
30,cycle,True,8,New Theory,10,0.2,0.8
31,cycle,True,9,New Theory,10,0.2,0.8
32,cycle,True,1,Old Theory,10,0.2,0.8
33,cycle,True,1,Old Theory,10,0.2,0.8
34,cycle,True,7,New Theory,10,0.2,0.8
35,cycle,True,10,New Theory,10,0.2,0.8
36,cycle,True,1,Old Theory,10,0.2,0.8
37,cycle,True,10,New Theory,10,0.2,0.8
38,cycle,True,2,Old Theory,10,0.2,0.8
39,cycle,True,7,New Theory,10,0.2,0.8
40,cycle,True,8,New Theory,10,0.2,0.8
41,cycle,True,8,New Theory,10,0.2,0.8
42,cycle,True,8,New Theory,10,0.2,0.8
43,cycle,True,3,Old Theory,10,0.2,0.8
44,cycle,True,8,New Theory,10,0.2,0.8
45,cycle,True,7,New Theory,10,0.2,0.8
46,cycle,True,9,New Theory,10,0.2,0.8
47,cycle,True,7,New Theory,10,0.2,0.8
48,cycle,True,7,New Theory,10,0.2,0.8
49,cycle,True,8,New Theory,10,0.2,0.8
50,cycle,True,11,New Theory,10,0.2,0.8
51,cycle,True,4,Old Theory,10,0.2,0.8
52,cycle,True,7,New Theory,10,0.2,0.8
53,cycle,True,1,Old Theory,10,0.2,0.8
54,cycle,True,1,Old Theory,10,0.2,0.8
55,cycle,True,1,Old Theory,10,0.2,0.8
56,cycle,True,8,New Theory,10,0.2,0.8
57,cycle,True,1,Old Theory,10,0.2,0.8
58,cycle,True,8,New Theory,10,0.2,0.8
59,cycle,True,1,Old Theory,10,0.2,0.8
60,cycle,True,7,New Theory,10,0.2,0.8
61,cycle,True,9,New Theory,10,0.2,0.8
62,cycle,True,8,New Theory,10,0.2,0.8
63,cycle,True,9,New Theory,10,0.2,0.8
64,cycle,True,3,Old Theory,10,0.2,0.8
65,cycle,True,3,Old Theory,10,0.2,0.8
66,cycle,True,7,New Theory,10,0.2,0.8
67,cycle,True,8,New Theory,10,0.2,0.8
68,cycle,True,1,Old Theory,10,0.2,0.8
69,cycle,True,1,Old Theory,10,0.2,0.8
70,cycle,True,1,Old Theory,10,0.2,0.8
71,cycle,True,2,Old Theory,10,0.2,0.8
72,cycle,True,10,New Theory,10,0.2,0.8
73,cycle,True,6,New Theory,10,0.2,0.8
74,cycle,True,2,Old Theory,10,0.2,0.8
75,cycle,True,10,New Theory,10,0.2,0.8
76,cycle,True,11,New Theory,10,0.2,0.8
77,cycle,True,1,Old Theory,10,0.2,0.8
78,cycle,True,5,New Theory,10,0.2,0.8
79,cycle,True,1,Old Theory,10,0.2,0.8
80,cycle,True,6,New Theory,10,0.2,0.8
81,cycle,True,8,New Theory,10,0.2,0.8
82,cycle,True,8,New Theory,10,0.2,0.8
83,cycle,True,2,Old Theory,10,0.2,0.8
84,cycle,True,6,New Theory,10,0.2,0.8
85,cycle,True,1,Old Theory,10,0.2,0.8
86,cycle,True,7,New Theory,10,0.2,0.8
87,cycle,True,3,Old Theory,10,0.2,0.8
88,cycle,True,5,New Theory,10,0.2,0.8
89,cycle,True,10,New Theory,10,0.2,0.8
90,cycle,True,1,Old Theory,10,0.2,0.8
91,cycle,True,2,Old Theory,10,0.2,0.8
92,cycle,True,8,New Theory,10,0.2,0.8
93,cycle,True,9,New Theory,10,0.2,0.8
94,cycle,True,7,New Theory,10,0.2,0.8
95,cycle,True,7,New Theory,10,0.2,0.8
96,cycle,True,7,New Theory,10,0.2,0.8
97,cycle,True,8,New Theory,10,0.2,0.8
98,cycle,True,5,Old Theory,10,0.2,0.8
99,cycle,True,7,New Theory,10,0.2,0.8
100,cycle,True,1,Old Theory,10,0.2,0.8
101,cycle,True,7,New Theory,10,0.2,0.8
102,cycle,True,9,New Theory,10,0.2,0.8
103,cycle,True,7,New Theory,10,0.2,0.8
104,cycle,True,9,New Theory,10,0.2,0.8
