simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,75,Correct Theory
2,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,71,Correct Theory
3,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
4,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,60,Correct Theory
5,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
6,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,10,Old Theory
7,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
8,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,105,Correct Theory
9,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
10,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Old Theory
11,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,91,Correct Theory
12,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,26,Correct Theory
13,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,92,Correct Theory
14,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
15,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
16,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,26,Old Theory
17,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
18,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
19,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
20,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
21,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
22,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Correct Theory
23,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
24,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
25,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
26,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,30,Correct Theory
27,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Old Theory
28,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
29,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
30,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
31,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
32,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
33,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,175,Correct Theory
34,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
35,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
36,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,176,Correct Theory
37,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
38,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
39,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
40,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,111,Correct Theory
41,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,85,Correct Theory
42,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
43,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,72,Correct Theory
44,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
45,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
46,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
47,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,11,Old Theory
48,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
49,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,21,Old Theory
50,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
51,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
52,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
53,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
54,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,30,Correct Theory
55,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
56,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,65,Correct Theory
57,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
58,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
59,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
60,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
61,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
62,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
63,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
64,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
65,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
66,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,8,Old Theory
67,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,5,Old Theory
68,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,30,Correct Theory
69,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
70,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
71,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
72,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,24,Correct Theory
73,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
74,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
75,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
76,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Old Theory
77,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
78,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,53,Correct Theory
79,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
80,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
81,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,147,Correct Theory
82,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
83,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,15,Old Theory
84,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
85,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
86,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
87,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,22,Correct Theory
88,ScientistAgent,bipartite,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
