simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,176,Correct Theory
2,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
3,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
4,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,75,Correct Theory
5,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
6,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,104,Correct Theory
7,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Old Theory
8,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,28,Correct Theory
9,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,65,Correct Theory
10,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
11,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,88,Correct Theory
12,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
13,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Old Theory
14,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,128,Correct Theory
15,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
16,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
17,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,25,Old Theory
18,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,22,Old Theory
19,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,95,Correct Theory
20,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
21,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
22,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
23,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,207,Correct Theory
24,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
25,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
26,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
27,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
28,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Old Theory
29,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
30,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
31,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,253,Correct Theory
32,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
33,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
34,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,19,Old Theory
35,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
36,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
37,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
38,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
39,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
40,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
41,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
42,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
43,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
44,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,584,Correct Theory
45,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
46,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,15,Old Theory
47,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
48,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,163,Correct Theory
49,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,5,Old Theory
50,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,5,Old Theory
51,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,132,Correct Theory
52,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
53,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,49,Correct Theory
54,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
55,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
56,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,52,Correct Theory
57,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,64,Correct Theory
58,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,86,Correct Theory
59,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
60,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,53,Correct Theory
61,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
62,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,52,Correct Theory
63,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,25,Correct Theory
64,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,86,Correct Theory
65,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
66,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
67,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
68,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,8,Old Theory
69,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
70,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
71,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,87,Correct Theory
72,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
73,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
74,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
75,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,104,Correct Theory
76,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
77,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
78,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
79,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,122,Correct Theory
80,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,70,Correct Theory
81,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,105,Correct Theory
82,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,130,Correct Theory
83,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
84,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,54,Correct Theory
85,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,32,Correct Theory
86,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
87,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,60,Correct Theory
88,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
89,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
90,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
91,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,234,Correct Theory
92,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,132,Correct Theory
93,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,49,Correct Theory
94,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
95,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,16,Old Theory
96,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
97,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,95,Correct Theory
98,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
99,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
100,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
101,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,12,Old Theory
102,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,97,Correct Theory
103,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
104,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
105,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,68,Correct Theory
106,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
107,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,49,Correct Theory
108,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
109,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,117,Correct Theory
110,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
111,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
112,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
113,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
114,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,144,Correct Theory
115,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,633,Correct Theory
116,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
117,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,114,Correct Theory
118,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,126,Correct Theory
119,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
120,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
121,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
122,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
123,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
124,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,53,Correct Theory
125,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
126,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
127,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,141,Correct Theory
128,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
129,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
130,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
131,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
132,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
133,ScientistAgent,cliques,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
