simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
2,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,113,Correct Theory
3,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
4,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
5,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
6,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,28,Correct Theory
7,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,25,Correct Theory
8,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,10,Old Theory
9,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,135,Correct Theory
10,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
11,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,84,Correct Theory
12,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
13,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
14,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
15,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,24,Correct Theory
16,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
17,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
18,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
19,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
20,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
21,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,76,Correct Theory
22,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,41,Correct Theory
23,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
24,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
25,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
26,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,75,Correct Theory
27,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
28,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
29,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
30,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,76,Correct Theory
31,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,26,Correct Theory
32,SuperScientistAgent,cliques,7,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
