simulation_id,network_type,converged,step,theory,num_agents,true_probs_old,true_probs_new,prior_strength_range,believe_strength_range
1,complete,True,10,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
2,complete,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
3,complete,True,8,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
4,complete,True,10,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
5,complete,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
6,complete,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
7,complete,True,10,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
8,complete,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
9,complete,True,9,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
10,complete,True,10,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
11,complete,True,10,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
12,complete,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
13,complete,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
14,complete,True,9,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
15,complete,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
16,complete,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
17,complete,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
18,complete,True,10,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
19,complete,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
20,complete,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
21,complete,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
22,complete,True,9,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
23,complete,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
24,complete,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
25,complete,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
26,complete,True,9,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
27,complete,True,8,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
28,complete,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
