simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
2,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
3,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,19,Old Theory
4,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,95,Correct Theory
5,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
6,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,86,Correct Theory
7,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,60,Correct Theory
8,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,38,Correct Theory
9,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
10,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
