simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
2,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
3,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Old Theory
4,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,9,Old Theory
5,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,5,Old Theory
6,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
7,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
8,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
9,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,121,Correct Theory
10,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,148,Correct Theory
11,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,54,Correct Theory
12,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
13,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
14,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
15,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
16,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
17,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
18,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
19,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,31,Correct Theory
20,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
21,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
22,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
23,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
24,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
25,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
26,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
27,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
28,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
29,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
30,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
31,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
32,ScientistAgent,complete,2,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
