simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
2,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
3,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
4,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
5,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
6,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
7,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,41,Correct Theory
8,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
9,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Old Theory
10,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,24,Correct Theory
11,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
12,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,21,Old Theory
13,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Old Theory
14,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,52,Correct Theory
15,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,28,Correct Theory
16,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
17,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
18,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,54,Correct Theory
19,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,18,Correct Theory
20,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
21,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
22,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,7,Old Theory
23,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
24,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
25,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
26,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,60,Correct Theory
27,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
28,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,32,Correct Theory
29,complete,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Correct Theory
