simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,7,Correct Theory
2,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Correct Theory
3,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,11,Correct Theory
4,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,19,Correct Theory
5,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,11,Correct Theory
6,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Correct Theory
7,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,19,Correct Theory
8,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,19,Correct Theory
9,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,16,Old Theory
10,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Correct Theory
11,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,8,Old Theory
12,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,16,Correct Theory
13,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Correct Theory
14,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,17,Correct Theory
15,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Correct Theory
16,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,16,Correct Theory
17,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,24,Correct Theory
18,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,8,Correct Theory
19,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,27,Correct Theory
20,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,13,Correct Theory
21,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
22,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,19,Correct Theory
23,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,15,Correct Theory
24,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,14,Correct Theory
25,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,17,Correct Theory
26,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,10,Old Theory
27,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,17,Correct Theory
28,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,9,Correct Theory
29,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,8,Correct Theory
30,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
31,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,32,Correct Theory
32,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
33,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,17,Correct Theory
34,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,12,Old Theory
35,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,18,Correct Theory
36,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,9,Correct Theory
37,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,11,Correct Theory
38,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,10,Correct Theory
39,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,14,Correct Theory
40,SuperScientistAgent,complete,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,14,Correct Theory
