simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,78,Correct Theory
2,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
3,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
4,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
5,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
6,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
7,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
8,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
9,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,32,Correct Theory
10,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
11,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
12,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
13,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
14,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,182,Correct Theory
15,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
16,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,27,Correct Theory
17,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",False,1000,
18,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,53,Correct Theory
19,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,102,Correct Theory
20,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
21,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
22,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,155,Correct Theory
23,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
24,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
25,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
26,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,52,Correct Theory
27,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,83,Correct Theory
28,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
29,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,14,Old Theory
30,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
31,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
32,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,110,Correct Theory
33,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
34,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
35,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
36,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
37,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,46,Correct Theory
38,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
39,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,82,Correct Theory
40,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,97,Correct Theory
41,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,85,Correct Theory
42,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,5,Old Theory
43,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,7,Old Theory
44,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,25,Correct Theory
45,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,20,Old Theory
46,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
47,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
48,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,113,Correct Theory
49,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,21,Correct Theory
50,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
51,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,87,Correct Theory
52,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
53,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
54,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
55,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
56,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
57,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,59,Correct Theory
58,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
59,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,102,Correct Theory
60,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
61,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
62,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
63,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,105,Correct Theory
64,ScientistAgent,Graph with 6 nodes and 10 edges,6,0.5,0.4,0.6,new,"(0.5, 2.0)",True,4,Old Theory
