simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,96,Correct Theory
2,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,76,Correct Theory
3,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
4,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,52,Correct Theory
5,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
6,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
7,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,5,Old Theory
8,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
9,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,25,Correct Theory
10,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,103,Correct Theory
11,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
12,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
13,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,71,Correct Theory
14,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,79,Correct Theory
15,SuperScientistAgent,Graph with 8 nodes and 9 edges,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
