simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
2,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
3,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
4,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,51,Correct Theory
5,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
6,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
7,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,169,Correct Theory
8,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,93,Correct Theory
9,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,100,Correct Theory
10,cycle,10,0.5,0.4,0.6,new,"(0.5, 2.0)",True,67,Correct Theory
