simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,83,Correct Theory
2,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,124,Correct Theory
3,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,90,Correct Theory
4,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,227,Correct Theory
5,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,16,Old Theory
6,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,95,Correct Theory
7,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
8,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,73,Correct Theory
9,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,75,Correct Theory
10,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,82,Correct Theory
11,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
12,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
13,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,77,Correct Theory
14,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,78,Correct Theory
15,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
16,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,94,Correct Theory
17,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,162,Correct Theory
18,ScientistAgent,cycle,12,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
