simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,75,Correct Theory
2,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,84,Correct Theory
3,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
4,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
5,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,78,Correct Theory
6,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,61,Correct Theory
7,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,317,Correct Theory
8,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
9,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
10,cycle,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,60,Correct Theory
