simulation_id,network_type,converged,step,theory,num_agents,true_probs_old,true_probs_new,prior_strength_range,believe_strength_range
1,wheel,True,15,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
2,wheel,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
3,wheel,True,15,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
4,wheel,True,18,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
5,wheel,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
6,wheel,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
7,wheel,True,16,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
8,wheel,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
9,wheel,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
10,wheel,True,20,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
11,wheel,True,9,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
12,wheel,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
13,wheel,True,9,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
14,wheel,True,17,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
15,wheel,True,15,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
16,wheel,True,14,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
17,wheel,True,14,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
18,wheel,True,19,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
19,wheel,True,17,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
20,wheel,True,14,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
21,wheel,True,19,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
22,wheel,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
23,wheel,True,10,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
24,wheel,True,14,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
25,wheel,True,17,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
26,wheel,True,19,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
27,wheel,True,12,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
28,wheel,True,14,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
29,wheel,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
30,wheel,True,15,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
31,wheel,True,13,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
32,wheel,True,11,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
33,wheel,True,17,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
34,wheel,True,18,New Theory,10,0.2,0.8,"(1, 4)","(0.5, 2.0)"
