simulation_id,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,28,Correct Theory
2,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,20,Correct Theory
3,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,27,Old Theory
4,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,22,Correct Theory
5,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,26,Correct Theory
6,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
7,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,48,Correct Theory
8,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
9,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,1,Old Theory
10,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,31,Correct Theory
11,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,31,Correct Theory
12,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
13,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
14,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,42,Correct Theory
15,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,19,Correct Theory
16,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,72,Correct Theory
17,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,6,Old Theory
18,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,18,Old Theory
19,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
20,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,3,Old Theory
21,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,56,Correct Theory
22,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
23,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
24,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
25,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,50,Correct Theory
26,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
27,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Old Theory
28,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,27,Correct Theory
29,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,47,Correct Theory
30,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,27,Correct Theory
31,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,32,Correct Theory
32,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Correct Theory
33,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,57,Correct Theory
34,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,31,Correct Theory
35,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
36,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,8,Old Theory
37,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
38,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,37,Correct Theory
39,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,58,Correct Theory
40,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
41,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,2,Old Theory
42,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,85,Correct Theory
43,wheel,4,0.5,0.4,0.6,new,"(0.5, 2.0)",True,22,Correct Theory
