simulation_id,agent_class,network_type,num_agents,old_theory_payoff,new_theory_payoff_if_old_true,new_theory_payoff_if_new_true,true_theory,belief_strength_range,converged,step,theory
1,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
2,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,156,Correct Theory
3,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,88,Correct Theory
4,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,154,Correct Theory
5,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
6,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,36,Correct Theory
7,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,5,Old Theory
8,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,33,Correct Theory
9,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
10,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
11,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,131,Correct Theory
12,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,96,Correct Theory
13,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
14,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,66,Correct Theory
15,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
16,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,23,Correct Theory
17,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,63,Correct Theory
18,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,71,Correct Theory
19,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,41,Correct Theory
20,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,62,Correct Theory
21,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
22,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
23,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,241,Correct Theory
24,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,27,Correct Theory
25,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,69,Correct Theory
26,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,108,Correct Theory
27,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,45,Correct Theory
28,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
29,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,74,Correct Theory
30,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,39,Correct Theory
31,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,55,Correct Theory
32,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,49,Correct Theory
33,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,34,Correct Theory
34,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
35,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,40,Correct Theory
36,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,44,Correct Theory
37,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,96,Correct Theory
38,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,43,Correct Theory
39,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,29,Correct Theory
40,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,25,Correct Theory
41,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,35,Correct Theory
42,ScientistAgent,wheel,8,0.5,0.4,0.6,new,"(0.5, 2.0)",True,7,Old Theory
